Location,Date,Description,Weaponry,Casulties,Shot Down
Aalma Ech Chaab,24-01-2024,"On 24 January 2024, the Israeli military fired incendiary shells in the vicinity of Aalma Ech Chaab (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Tayr Harfa,24-01-2024,"On 24 January 2024, the Israeli military fired artillery shells on Tayr Harfa town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Ed Dhayra,24-01-2024,"On 24 January 2024, the Israeli military fired artillery shells in the vicinity of Ed Dhayra town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Yarine,24-01-2024,"On 24 January 2024, the Israeli military fired artillery shells in the vicinity of Yarine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aadayseh Marjayoun,24-01-2024,"On 24 January 2024, the Israeli military fired artillery and white phosphorus shells on Aadayseh Marjayoun town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported. HRW and other international organizations have accused Israel of using white phosphorus in Lebanon and Gaza.",shells,0,0
Hamoul,24-01-2024,"On 24 January 2024, the Israeli military fired artillery shells on Hamoul town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Yaroun,24-01-2024,"On 24 January 2024, the Israeli military fired artillery shells on Yaroun town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aitaroun,24-01-2024,"On 24 January 2024, the Israeli military fired artillery shells in the vicinity of Aitaroun town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Maroun er Ras,24-01-2024,"On 24 January 2024, the Israeli military fired artillery shells in the vicinity of Maroun er Ras town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Marwahin,24-01-2024,"On 24 January 2024, the Israeli military fired artillery shells in the vicinity of Marwahin town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Boustane,24-01-2024,"On 24 January 2024, the Israeli military fired artillery shells in the vicinity of Boustane town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
El Habbariye,24-01-2024,"On 24 January 2024, the Israeli military fired artillery shells in the vicinity of El Habbariye town (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Safad el Battikh,23-01-2024,"On 23 January 2024, Israeli warplanes carried out airstrikes on a house in Jumayjmeh near Safad el Battikh (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
El Hamames,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells on El Hamames town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Aadayseh Marjayoun,23-01-2024,"On 23 January 2024, Hezbollah announced the death of a fighter (coded to Aadayseh Marjayoun). The circumstances of the fighter\",unknown,0,0
Chihhine,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells in the vicinity of Chihhine town (South, Tyr) due to continuous ecalation with Hezbollah. No casualties were reported.",shells,0,0
Marwahin,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells in the vicinity of Marwahin town (South, Tyr) due to continuous ecalation with Hezbollah. No casualties were reported.",shells,0,0
Tayr Harfa,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells in the vicinity of Tayr Harfa town (South, Tyr) due to continuous ecalation with Hezbollah. No casualties were reported.",shells,0,0
Jabal Blat,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells in the vicinity of Jabal Blat town (South, Tyr) due to continuous ecalation with Hezbollah. No casualties were reported.",shells,0,0
Yarine,23-01-2024,"On 23 January 2024, the Israeli military fired artillery and flare shells in the vicinity of Yarine town (South, Tyr) due to continuous ecalation with Hezbollah. No casualties were reported.",shells,0,0
Ed Dhayra,23-01-2024,"On 23 January 2024, the Israeli military fired artillery and flare shells in the vicinity of Ed Dhayra town (South, Tyr) due to continuous ecalation with Hezbollah. No casualties were reported.",shells,0,0
Aalma Ech Chaab,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells in the vicinity of Aalma Ech Chaab town (South, Tyr) due to continuous ecalation with Hezbollah. No casualties were reported.",shells,0,0
Mays el Jabal,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells in the vicinity of Mays el Jabal (Al Nabatieh, Marjayoun) due to continuous ecalation with Hezbollah. No casualties were reported.",shells,0,0
Kfar Kila,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells on Kfar Kila town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Beit Lif,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells on Beit Lif town (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Roumine,23-01-2024,"On 23 January 2024, Israeli warplanes carried out airstrikes on the area between Houmine and Roumine (Al Nabatieh, Al Nabatieh) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Rachaya al Foukhar,23-01-2024,"On 23 January 2024, the Israeli army fired artillery shells in the vicinity of Rachaya al Foukhar (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Al Wazzani,23-01-2024,"On 23 January 2024, an Israeli drone fired missiles on a shipping container in agricultural land in Al Wazzani (Al Nabatieh, Hasbeiya) due to continuous escalation with Hezbollah. No casualties were reported.",drone,0,0
Ramieh,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells in the vicinity of Ramieh town (Al Nabatieh, Bint Jbeil) due to continuous ecalation with Hezbollah. No casualties were reported.",shells,0,0
Khiyam,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells on Khiyam town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Labbouneh,23-01-2024,"Other: On 23 January 2024, the Israeli military fired flare shells on towns close to the blue line along the border area (Coded to Labbouneh). This is due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Chebaa,23-01-2024,"On 23 January 2024, the Israeli military fired artillery shells that hit a civilian house in Chebaa town (Al Nabatieh, Hasbeiya). One civilian was injured in the shelling.",shells,0,0
Tayr Harfa,22-01-2024,"On 22 January 2024, Israeli warplanes carried out an airstrike on a house in Tayr Harfa (South, Tyr). This comes amid continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Aadayseh Marjayoun,22-01-2024,"On 22 January 2024, Hezbollah announced the death of a fighter (coded to Aadayseh Marjayoun). The circumstances of the fighter\",unknown,0,0
Chihhine,22-01-2024,"On 22 January 2024, Israeli warplanes carried out an airstrike on a house in Chihhine village (South, Tyr) while artillery also targeted the village due to continuous escalation with Hezbollah. The airstrike resulted in heavy material damage. No casualties were reported.",airstrike,0,0
Taybeh,22-01-2024,"On 22 January 2024, Hezbollah announced the death of a fighter (coded to Taybeh). The circumstances of the fighter\",unknown,0,0
Majdel Selm,22-01-2024,"On 22 January 2024, Israeli warplanes carried out an airstrike on Majdel Selm (Al Nabatieh, Marjayoun). This comes amid continuous escalation with Hezbollah. One fatality and four injuries were reported.",airstrike,0,0
Al Wazzani,22-01-2024,"On 22 January 2024, an Israeli drone fired a missile on a residential room inside an agricultural project in the vicinity of Al Wazzani town (Al Nabatieh, Hasbeiya). There were no casualties.",drone,0,0
Maroun er Ras,22-01-2024,"On 22 January 2024, the Israeli military fired artillery shells in the vicinity of Maroun er Ras (Al Nabatieh, Bint Jbeil) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Mays el Jabal,22-01-2024,"On 22 January 2024, the Israeli military targeted the vicinity of Mays el Jabal (Al Nabatieh, Marjayoun) with a number of artillery shells. No casualties were reported.",shells,0,0
Kfar Kila,22-01-2024,"On 22 January 2024, Hezbollah announced the death of a fighter (coded to Kfar Kila). The circumstances of the fighter\",unknown,0,0
Ras al Naqoura,22-01-2024,"Around 22 January 2024, the Israeli military fired artillery and incendiary shells in the vicinity of Ras al Naqoura town (South, Tyr) amid continuous escalation with Hezbollah along the border area. No casualties were reported.",shells,0,0
Hamoul,22-01-2024,"Around 22 January 2024, the Israeli military fired artillery shells in the vicinity of Hamoul town (South, Tyr) amid continuous escalation with Hezbollah along the border area. No casualties were reported.",shells,0,0
Aalma Ech Chaab,22-01-2024,"Around 22 January 2024, the Israeli military fired artillery shells in the vicinity of Aalma Ech Chaab town (South, Tyr) amid continuous escalation with Hezbollah along the border area. No casualties were reported.",shells,0,0
Labbouneh,22-01-2024,"Around 22 January 2024, the Israeli military fired artillery shells in the vicinity of Labbouneh town (South, Tyr) amid continuous escalation with Hezbollah along the border area. No casualties were reported.",shells,0,0
Aitaroun,22-01-2024,"On 22 January 2024, the Israeli military fired artillery shells in the vicinity of Aitaroun village (Al Nabatieh, Bint Jbeil) amid continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Marwahin,22-01-2024,"On 22 January 2024, Israeli warplanes carried out multiple airstrikes on Marwahin village (South, Tyr) amid continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Houla,22-01-2024,"On 22 January 2024, the Israeli military fired artillery shells in the vicinity of Houla town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Deir Mimas,22-01-2024,"On 22 January 2024, the Israeli military fired artillery shells on Al Azziyeh mountain near Deir Mimas town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Kfar Kila,22-01-2024,"On 22 January 2024, the Israeli military fired white phosphorus shells and used machine guns on Kfar Kila town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported. HRW and other international organizations have accused Israel of using white phosphorus in Lebanon and Gaza.",shells,0,0
Aadayseh Marjayoun,22-01-2024,"On 22 January 2024, the Israeli military fired white phosphorus shells and used machine guns on Aadayseh Marjayoun town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported. HRW and other international organizations have accused Israel of using white phosphorus in Lebanon and Gaza.",shells,0,0
Yaroun,22-01-2024,"On 22 January 2024, the Israeli army fired artillery shells in the vicinity of Yaroun village (Al Nabatieh, Bint Jbeil) amid continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Rab el Thalathine,22-01-2024,"On 22 January 2024, Israeli warplanes carried out an airstrike in the vicinity of Rab el Thalathine town (Al Nabatieh, Marjayoun) due to continuous escalation with Hezbollah. No casualties were reported.",airstrike,0,0
Yarine,22-01-2024,"On 22 January 2024, the Israeli military fired artillery shells on Yarine town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Maroun er Ras,22-01-2024,"On 22 January 2024, Israeli warplanes carried out an airstrike on a building believed to be housing Hezbollah fighters in Maroun er Ras town (Al Nabatieh, Bint Jbeil). No casualties were reported.",airstrike,0,0
Umm Touteh,22-01-2024,"On 22 January 2024, the Israeli military fired artillery shells on Umm Touteh town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
Boustane,22-01-2024,"On 22 January 2024, the Israeli military fired artillery shells in the vicinity of Boustane town (South, Tyr) due to continuous escalation with Hezbollah. No casualties were reported.",shells,0,0
